Mode of Travel,Home and Work Filter,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Personal,Visitors,Trip Start,15,15,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),9,1434,1434,6.6,6.6
Personal,Visitors,Trip Start,15,15,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),11,1734,1756,12.9,12.4
Personal,Visitors,Trip Start,15,15,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),6,1605,1678,12.2,13.0
Personal,Visitors,Trip Start,16,16,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1,1597,1682,5.5,5.8
Personal,Visitors,Trip Start,16,16,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),N/A,1864,1864,6.4,6.4
Personal,Visitors,Trip Start,16,16,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),0,1372,1372,3.4,3.4
Personal,Visitors,Trip Start,16,16,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1,1653,1693,6.3,6.3
Personal,Visitors,Trip Start,16,16,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),0,1597,1820,5.7,6.5
Personal,Visitors,Trip Start,16,16,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),1,1571,1687,5.1,5.4
Personal,Visitors,Trip Start,16,16,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),N/A,1891,1891,3.8,3.8
Personal,Visitors,Trip Start,16,16,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),0,1266,1266,1.7,1.7
Personal,Visitors,Trip Start,16,16,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),1,1732,1819,7.4,7.4
Personal,Visitors,Trip Start,16,16,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),0,1394,1642,4.2,5.2
Personal,Visitors,Trip Start,16,16,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2,1644,1673,6.4,6.4
Personal,Visitors,Trip Start,16,16,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),N/A,1700,1700,21.8,21.8
Personal,Visitors,Trip Start,16,16,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1,1466,1466,4.9,4.9
Personal,Visitors,Trip Start,16,16,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),1,1528,1499,4.7,4.5
Personal,Visitors,Trip Start,16,16,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),0,2171,2305,10.1,10.0
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),646,1651,1731,7.0,7.3
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),3,1351,1660,6.9,9.9
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),27,1311,1390,5.6,5.7
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),194,1620,1708,6.6,6.8
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),216,1657,1731,6.5,6.9
Personal,Visitors,Trip Start,17,17,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),206,1730,1803,8.1,8.5
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),653,1593,1668,6.5,6.9
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),2,1125,1865,6.8,13.5
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),30,1240,1339,4.8,5.0
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),177,1460,1534,5.7,5.9
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),4: Peak PM (3pm-7pm),217,1650,1723,6.2,6.6
Personal,Visitors,Trip Start,17,17,no,N/A,no,1: Weekday (M-F),5: Late PM (7pm-12am),226,1701,1769,7.7,8.1
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),630,1801,1893,8.1,8.5
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),7,1501,1501,7.0,7.0
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),20,1591,1599,8.9,8.7
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),237,1920,2034,8.1,8.5
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),211,1674,1754,7.2,7.5
Personal,Visitors,Trip Start,17,17,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),155,1837,1926,9.3,10.0
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),70,1658,1756,6.4,6.6
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),0,1366,1366,2.9,2.9
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),8,1211,1233,4.2,4.2
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),20,1640,1804,7.5,7.8
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),21,1847,1909,7.3,7.3
Personal,Visitors,Trip Start,18,18,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),21,1666,1773,5.2,5.6
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),0: All Day (12am-12am),71,1690,1759,6.3,6.6
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),1: Early AM (12am-6am),0,1366,1366,2.9,2.9
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),2: Peak AM (6am-10am),9,1180,1178,4.2,4.2
Personal,Visitors,Trip Start,18,18,no,N/A,no,1: Weekday (M-F),3: Mid-Day (10am-3pm),18,1657,1750,7.6,7.8
